,precision,recall,f1-score,support
0,0.9,0.9850074962518741,0.9405869720830351,667.0
1,0.8958333333333334,0.5408805031446541,0.6745098039215687,159.0
accuracy,0.8995157384987893,0.8995157384987893,0.8995157384987893,0.8995157384987893
macro avg,0.8979166666666667,0.7629439996982641,0.8075483880023019,826.0
weighted avg,0.8991979418886199,0.8995157384987893,0.8893687278485639,826.0
